asdf_id,shapeName,viirs_ntl_annual_v20_avg_masked.2020.sum,lnviirs_ntl,logviirs_ntl
110,Calama,20950.10,9.95,4.32
111,Lampa,9070.95,9.11,3.96
112,Pirque,3081.64,8.03,3.49
113,Bulnes,1309.43,7.18,3.12
114,Chillán Viejo,1734.07,7.46,3.24
115,Chillán,9791.08,9.19,3.99
116,Yumbel,1526.92,7.33,3.18
117,Lonquimay,529.14,6.27,2.72
118,Puente Alto,20016.11,9.90,4.30
119,Huechuraba,6117.86,8.72,3.79
120,Yungay,1074.89,6.98,3.03
